data ; tMin ; tMed ; tMax ; precipitacao ; estiagem* ; estiagemAgricola* ; urMin ; urMax ; evapotranspiracaoPotencial ; radiacaoSolar ; velocidadeVento ; direcaoVento ; horarioVento ; pontoOrvalhoMinimo ; pontoOrvalhoMaximo ; pressaoAtmMinima ; pressaoAtmMaxima ; evapotranspiracaoReal* ; disponibilidadeAguaSolo*
31/12/2019;"18,8";"24,35";"29,9";0;2;2;37;79;"4,31";"26,12";"2,1";88;23:00:00;"12,9";"18,7";"913,2";"916,9";4;"90,91"
30/12/2019;"18,1";"23,7";"29,3";0;1;1;32;84;"4,14";"23,64";"3,2";115;23:00:00;"10,9";"18,5";"913,4";"917,7";"4,02";"94,91"
29/12/2019;"18,8";"24,1";"29,4";"13,6";0;0;40;90;"4,08";"19,43";"0,9";117;23:00:00;"13,7";"19,7";"914,9";919;"4,08";"98,93"
28/12/2019;"19,7";"24,15";"28,6";6;0;4;44;88;"3,6";"20,6";"1,5";90;23:00:00;"13,4";"19,1";"916,9";"920,7";"3,6";"89,41"
27/12/2019;"19,9";"24,5";"29,1";0;3;3;40;83;"3,78";"23,96";"2,1";105;23:00:00;12;"18,2";"918,1";"921,8";"3,36";"87,01"
26/12/2019;"20,8";"25,6";"30,4";0;2;2;37;79;"4,23";"23,39";"2,3";95;23:00:00;"12,8";"19,5";"916,6";"920,8";"3,9";"90,37"
25/12/2019;"17,4";"23,85";"30,3";0;1;1;36;91;"4,73";"29,71";"2,2";109;23:00:00;"13,3";"18,6";"915,5";"919,4";"4,57";"94,27"
24/12/2019;"17,6";"21,1";"24,6";"16,2";0;0;65;91;"2,37";"8,93";"0,6";79;23:00:00;"16,1";"20,6";"916,2";"920,9";"2,37";"98,84"
23/12/2019;19;"22,45";"25,9";"19,6";0;0;59;91;"2,65";"13,8";"0,3";65;22:00:00;"16,9";"20,2";"916,4";"920,1";"2,65";"85,01"
22/12/2019;"20,3";"26,6";"32,9";0;3;10;34;84;"5,05";"28,04";3;114;23:00:00;"13,6";19;"914,5";"918,5";"3,52";"68,06"
21/12/2019;20;"24,6";"29,2";"0,4";2;9;46;91;"3,82";"17,05";2;105;23:00:00;"15,6";"20,9";916;"919,4";"2,89";"71,58"
20/12/2019;"19,7";"25,2";"30,7";"0,4";1;8;42;88;"4,55";"25,06";"2,6";92;23:00:00;"15,6";"19,8";"915,4";"920,7";"3,54";"74,07"
19/12/2019;"19,9";"25,2";"30,5";5;0;7;43;89;"4,42";"16,91";2;166;23:00:00;"15,8";"19,5";"916,9";"919,9";"4,42";"77,21"
18/12/2019;"20,8";"26,6";"32,4";0;6;6;28;70;"4,85";"26,99";"2,9";117;23:00:00;"10,8";"18,1";"914,7";"918,3";"3,81";"76,63"
17/12/2019;"20,3";"25,75";"31,2";0;5;5;28;78;"4,7";"29,48";"1,7";55;23:00:00;"10,1";"18,8";"914,2";"918,8";"3,87";"80,44"
16/12/2019;"18,7";"24,35";30;0;4;4;26;77;"4,38";"30,21";"2,5";88;23:00:00;"7,9";"17,1";"915,5";"921,1";"3,77";"84,31"
15/12/2019;"20,2";"24,6";29;0;3;3;32;77;"3,7";"29,37";"2,6";79;23:00:00;"10,2";"16,2";"919,3";"922,7";"3,32";"88,08"
14/12/2019;"18,9";"24,55";"30,2";0;2;2;43;88;"4,44";"25,52";2;113;23:00:00;15;"19,8";918;"922,2";"4,15";"91,4"
13/12/2019;"18,5";"24,9";"31,3";"0,2";1;1;39;92;"4,75";"27,3";"2,8";266;23:00:00;"14,9";"20,3";"914,3";"919,5";"4,65";"95,55"
12/12/2019;"19,1";"23,15";"27,2";"35,4";0;0;61;92;"3,11";"15,13";"0,8";41;23:00:00;"17,3";"21,1";"914,3";"916,7";"3,11";100
11/12/2019;"19,4";"23,7";28;"10,4";0;0;56;92;"3,39";"13,08";"1,1";245;23:00:00;"17,2";"20,6";913;"918,2";"3,39";100
10/12/2019;"19,7";"22,65";"25,6";"6,2";0;3;68;91;"2,47";"9,08";"0,7";138;23:00:00;"17,5";"20,3";916;"919,3";"2,47";"98,55"
09/12/2019;"18,3";23;"27,7";"0,2";2;2;55;84;"3,41";"16,22";"1,7";93;23:00:00;"15,5";"19,8";"915,5";"919,6";"3,29";"94,82"
08/12/2019;"18,5";"21,3";"24,1";0;1;1;64;90;"2,11";"13,88";"3,1";93;23:00:00;"15,2";"18,4";916;"919,3";"2,09";"97,91"
07/12/2019;"20,3";"23,45";"26,6";"16,2";0;0;66;92;"2,74";"8,27";"1,6";113;23:00:00;"18,4";"21,2";"913,7";"916,9";"2,74";100
06/12/2019;"19,4";"24,15";"28,9";20;0;0;54;92;"3,76";"15,49";"0,1";292;23:00:00;"17,4";"21,5";"912,3";"917,4";"3,76";100
05/12/2019;"19,3";"23,3";"27,3";"5,2";0;3;65;91;"3,12";"14,05";"0,1";30;23:00:00;"17,4";"22,7";"913,7";"918,8";"3,12";"99,08"
04/12/2019;"18,6";23;"27,4";"0,2";1;2;56;89;"3,25";"21,46";"2,9";100;23:00:00;"16,1";"19,2";"915,7";"919,1";"3,2";97
03/12/2019;"19,2";"22,3";"25,4";"5,2";0;1;65;91;"2,45";"14,08";"3,4";94;22:00:00;17;"19,6";"914,5";"917,6";"2,45";100
02/12/2019;"19,2";"24,65";"30,1";"46,6";0;0;49;92;"4,32";"18,28";"2,5";22;23:00:00;17;"20,8";"913,1";"918,1";"4,32";100
01/12/2019;"19,7";"24,55";"29,4";"4,4";0;2;47;92;"3,92";"18,36";"2,1";260;22:00:00;"16,6";"21,3";"913,9";"918,7";"3,92";100
30/11/2019;"19,4";"23,85";"28,3";"6,4";0;1;52;91;"3,49";"17,56";"0,8";52;23:00:00;"16,5";"21,3";"914,3";"918,8";"3,49";100
